date,forecast_origin_date,actual_target,pred_target,actual_var,pred_var,qlike,error_sq
2025-08-23,2025-08-22,-9.183888461180791,-8.61828492067853,0.00010268048678450008,0.0001807700239156884,0.13362100135446564,6.09797580936324e-09
2025-08-24,2025-08-23,-7.9221123979704675,-8.331035229563811,0.00036263548637899994,0.00024092250563522265,0.09627252117517893,1.48140496815351e-08
2025-08-25,2025-08-24,-7.369303557909361,-7.6707225795906675,0.0006303069985975,0.00046628077697325783,0.05035654906263387,2.6904601380325013e-08
2025-08-26,2025-08-25,-8.018001586788086,-7.926767871555754,0.0003294777981264999,0.000360951170138035,0.004038089076244589,9.905731457764803e-10
2025-08-27,2025-08-26,-8.71927449457634,-8.01771774340644,0.0001634056996486001,0.00032957133149268315,0.1973697496100968,2.7611017206143345e-08
2025-08-28,2025-08-27,-8.422088438185506,-7.79500380056487,0.00021995481079550006,0.00041178721908173647,0.161231515397251,3.67996728688973e-08
2025-08-29,2025-08-28,-7.389598627377108,-8.167448264837104,0.0006176438090806998,0.00028374112566785563,0.398936297072213,1.1149100199029801e-07
2025-08-30,2025-08-29,-8.908141691733062,-7.3197335013272,0.00013528299806,0.000662338700078723,0.7926587915240946,2.7778771303044895e-07
2025-08-31,2025-08-30,-8.885945307781821,-8.359301877103018,0.0001383193649476999,0.00023420778252449182,0.11722758803847988,9.194588625381217e-09
2025-09-01,2025-08-31,-7.558693256247002,-7.7105496564787,0.0005215563392677,0.0004480751220412692,0.012136638463206895,5.399489285077914e-09
2025-09-02,2025-09-01,-7.232021168679561,-8.076406060291323,0.0007230579631553998,0.00031078597676534824,0.4821609777559446,1.6996819076199884e-07
2025-09-03,2025-09-02,-8.744798321566751,-7.7294038215051515,0.00015928773747539993,0.0004397061823452185,0.3776541353477578,7.863450422320747e-08
2025-09-04,2025-09-03,-8.098252576632076,-7.769246301263261,0.00030407001315849993,0.00042253160836664354,0.048644842457514326,1.4033149539258073e-08
2025-09-05,2025-09-04,-7.039681268705722,-7.902941763398121,0.0008764058557187999,0.00036965450331186015,0.5076174758963541,2.567969331662624e-07
2025-09-06,2025-09-05,-9.903856094923732,-7.7967516297637385,4.998157627578998e-05,0.0004110681139760215,1.2286942027667007,1.303834877083407e-07
2025-09-07,2025-09-06,-9.887047417725585,-8.341911488921609,5.082880087242571e-05,0.0002383163681828354,0.7584191368844642,3.5151587895975404e-08
2025-09-08,2025-09-07,-8.924356041828888,-8.071044347725234,0.00013310715973930006,0.00031245679706872197,0.2793136834597745,3.216629241019517e-08
2025-09-09,2025-09-08,-8.196360285146962,-7.703417144418245,0.00027565505209930006,0.0004512824478009435,0.10376922616577233,3.084498212094166e-08
2025-09-10,2025-09-09,-8.418957173639251,-8.320084293813897,0.00022064462693109993,0.00024357533146657811,0.004730771988816773,5.258172104933999e-10
2025-09-11,2025-09-10,-8.893884231266238,-8.535736197638709,0.0001372256054740001,0.0001963255715155947,0.05711778330249895,3.4928059861176354e-09
2025-09-12,2025-09-11,-8.887581474542733,-7.668522832283214,0.00013809323644279998,0.0004673076058248636,0.5145670079926639,1.0838210100762985e-07
