,realized_variance,realized_volatility
2022-03-31,0.0006808009507564838,0.0260921626308837
2022-04-01,0.0010050151551095558,0.031701973993894385
2022-04-02,0.0005368246244573216,0.02316947613687719
2022-04-03,0.0005150485255604536,0.0226946805564752
2022-04-04,0.0005550451238361724,0.023559395659400358
2022-04-05,0.00035945037699919714,0.018959176590748795
2022-04-06,0.0006453088756895158,0.025402930454762808
2022-04-07,0.0004360837102871924,0.020882617419451816
2022-04-08,0.0007948322914173684,0.02819277019764763
2022-04-09,0.00022772946097618542,0.015090707769226247
2022-04-10,0.00044032548223204876,0.020983933907445684
2022-04-11,0.0012118176375318897,0.034811171160015426
2022-04-12,0.000638687477372982,0.025272266961493227
2022-04-13,0.0009064061951181958,0.030106580594916384
2022-04-14,0.0005754450723025109,0.023988436220448196
2022-04-15,0.00021714625714893527,0.01473588331756652
2022-04-16,0.0001880019534893113,0.013711380437042483
2022-04-17,0.0002437453377537024,0.015612345683903569
2022-04-18,0.001282588745590757,0.035813248185423745
2022-04-19,0.0003275311833168048,0.018097822612590853
2022-04-20,0.0005141859735173443,0.022675669196681812
2022-04-21,0.000798467011174066,0.028257158582809878
2022-04-22,0.0003938437407090839,0.019845496736264474
2022-04-23,0.00016418377040066255,0.012813421494693077
2022-04-24,0.00019623699980478483,0.014008461721573317
2022-04-25,0.0010376005008346386,0.032211806854546964
2022-04-26,0.0008563499842180766,0.029263458172575512
2022-04-27,0.0009232585817077579,0.030385170424201306
2022-04-28,0.0005871367698859779,0.024230905263443583
2022-04-29,0.000637097661317745,0.025240793595244684
2022-04-30,0.00041933802335232577,0.020477744586558495
2022-05-01,0.000663002481900018,0.025748834573627172
2022-05-02,0.0005493133452463026,0.02343743469849682
2022-05-03,0.00017785370697782758,0.0133361803743736
2022-05-04,0.0006728610329282436,0.025939565010389895
2022-05-05,0.002126289061307448,0.04611170199968168
2022-05-06,0.0005789028692179889,0.024060400437606787
2022-05-07,0.0007025502678477049,0.026505664825612372
2022-05-08,0.0009698604440256982,0.031142582488061232
2022-05-09,0.003343771434422168,0.05782535286898099
2022-05-10,0.004399105019597198,0.06632574929540712
2022-05-11,0.015348890806376846,0.12389064051160946
2022-05-12,0.011888927827650789,0.10903636011739748
2022-05-13,0.002466371268221108,0.04966257411996591
2022-05-14,0.001365168938912827,0.03694819263391414
2022-05-15,0.0011229458667780968,0.033510384461806715
2022-05-16,0.002308931650642062,0.048051343900478605
2022-05-17,0.0010544988716311304,0.03247304838833476
2022-05-18,0.0011102441989474686,0.03332032711345236
2022-05-19,0.0013061360152467909,0.036140503804551354
2022-05-20,0.0015184699579231737,0.038967550063138096
2022-05-21,0.0001387010951750357,0.011777142912227723
2022-05-22,0.0007557333945893759,0.0274906055697101
2022-05-23,0.0010516317746515455,0.03242887254672209
2022-05-24,0.0004960728749419238,0.022272693481973027
2022-05-25,0.0007488347859711403,0.02736484580572564
